Acesso: <sqlite3.Connection object at 0x000001C8824A1120> - 2025-06-12T08:12:15.758764
Acesso: <sqlite3.Connection object at 0x000001C8824A13F0> - 2025-06-12T08:12:37.339011
Acesso: <sqlite3.Connection object at 0x000001C8824A1990> - 2025-06-12T08:12:37.350144
Acesso: <sqlite3.Connection object at 0x000001C8824A1A80> - 2025-06-12T08:12:37.352086
Acesso: <sqlite3.Cursor object at 0x00000207FC4F79C0> - 2025-06-12T08:12:49.508717
[2025-06-12T08:58:05.019293] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: Request All DataBase
[2025-06-12T09:03:41.523404] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: Request All DataBase
[2025-06-12T09:03:45.864366] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: Request All DataBase
[2025-06-12T09:04:19.148724] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: Request All DataBase
[2025-06-12T09:04:19.976035] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: Request a Row
[2025-06-12T09:10:29.704539] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:10:37.101208] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: Request a Row
[2025-06-12T09:12:21.003834] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:12:21.974558] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:12:29.904941] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:12:32.274623] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:12:37.428972] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:12:38.069674] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:12:41.538967] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:12:42.203733] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=63 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:13:17.394216] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:13:18.311891] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:13:20.388726] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:13:20.994411] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:13:21.684692] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:13:23.030376] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:13:24.320327] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:13:24.988529] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:13:25.816549] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:14:44.364229] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:14:45.526817] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:14:48.540048] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:14:49.554981] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=63 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:14:50.970450] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:14:51.620263] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:14:52.667326] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:16:55.434914] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:16:56.845926] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:16:57.700857] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:18:06.184306] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:23:16.826442] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '192.168.0.70')
[2025-06-12T09:24:14.555155] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:26:55.932353] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:32:10.888444] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:33:05.538497] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
